t	x	v
8.190000	-0.353081	-0.980197
8.200000	-0.362883	-0.976666
8.210000	-0.372649	-0.973037
8.220000	-0.382380	-0.969311
8.230000	-0.392073	-0.965487
8.240000	-0.401728	-0.961566
8.250000	-0.411343	-0.957549
8.260000	-0.420919	-0.953435
8.270000	-0.430453	-0.949226
8.280000	-0.439945	-0.944922
8.290000	-0.449395	-0.940522
8.300000	-0.458800	-0.936028
8.310000	-0.468160	-0.931440
8.320000	-0.477474	-0.926759
8.330000	-0.486742	-0.921984
8.340000	-0.495962	-0.917116
8.350000	-0.505133	-0.912157
8.360000	-0.514255	-0.907105
8.370000	-0.523326	-0.901963
8.380000	-0.532345	-0.896730
8.390000	-0.541313	-0.891406
8.400000	-0.550227	-0.885993
8.410000	-0.559087	-0.880491
8.420000	-0.567891	-0.874900
8.430000	-0.576640	-0.869221
8.440000	-0.585333	-0.863455
8.450000	-0.593967	-0.857601
8.460000	-0.602543	-0.851662
8.470000	-0.611060	-0.845636
8.480000	-0.619516	-0.839526
8.490000	-0.627911	-0.833330
8.500000	-0.636245	-0.827051
8.510000	-0.644515	-0.820689
8.520000	-0.652722	-0.814244
8.530000	-0.660865	-0.807716
8.540000	-0.668942	-0.801108
8.550000	-0.676953	-0.794418
8.560000	-0.684897	-0.787649
8.570000	-0.692774	-0.780800
8.580000	-0.700582	-0.773872
8.590000	-0.708320	-0.766866
8.600000	-0.715989	-0.759783
8.610000	-0.723587	-0.752623
8.620000	-0.731113	-0.745387
8.630000	-0.738567	-0.738076
8.640000	-0.745948	-0.730691
8.650000	-0.753255	-0.723231
8.660000	-0.760487	-0.715699
